year,"Boundary, border","Asylum, detainment, police","Immigrant life, education","Politics, party, candidates","Terrorist attacks, security","Europe, EU Politics, Jewish","NY, Central America, East Asia",India,"Business, union, outsourcing",Legality,"Social, health, tax policies","Middle East, taliban",Random,News source
2003,0.24390243902439024,14.024390243902438,33.53658536585366,15.609756097560975,0.24390243902439024,0.24390243902439024,17.5609756097561,0.24390243902439024,17.073170731707318,0.24390243902439024,0.24390243902439024,0.24390243902439024,0.24390243902439024,0.24390243902439024
2004,0.28328611898017,24.22096317280453,10.19830028328612,14.164305949008499,0.28328611898017,11.473087818696884,11.898016997167138,0.28328611898017,25.77903682719547,0.28328611898017,0.28328611898017,0.28328611898017,0.28328611898017,0.28328611898017
2005,3.0303030303030303,6.0606060606060606,15.151515151515152,15.151515151515152,3.0303030303030303,6.0606060606060606,6.0606060606060606,6.0606060606060606,9.090909090909092,9.090909090909092,6.0606060606060606,6.0606060606060606,3.0303030303030303,6.0606060606060606
2006,4.4534412955465585,0.8097165991902834,39.27125506072875,23.076923076923077,3.2388663967611335,0.8097165991902834,0.8097165991902834,0.8097165991902834,21.05263157894737,2.42914979757085,0.8097165991902834,0.8097165991902834,0.8097165991902834,0.8097165991902834
2007,0.7220216606498195,0.7220216606498195,36.101083032490976,22.743682310469314,0.7220216606498195,0.7220216606498195,17.32851985559567,0.7220216606498195,16.60649819494585,0.7220216606498195,0.7220216606498195,0.7220216606498195,0.7220216606498195,0.7220216606498195
2008,0.27359781121751026,20.109439124487004,34.19972640218878,27.77017783857729,0.27359781121751026,0.27359781121751026,9.575923392612859,0.27359781121751026,5.882352941176471,0.27359781121751026,0.27359781121751026,0.27359781121751026,0.27359781121751026,0.27359781121751026
2009,2.085222121486854,13.87126019945603,37.26201269265639,18.766999093381685,0.1813236627379873,0.1813236627379873,21.486854034451497,0.1813236627379873,3.173164097914778,0.1813236627379873,0.1813236627379873,0.1813236627379873,0.1813236627379873,2.085222121486854
2010,0.8547008547008547,21.367521367521366,34.61538461538461,24.358974358974358,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,11.11111111111111,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547
2011,0.8849557522123894,17.256637168141594,34.51327433628319,36.72566371681416,0.8849557522123894,0.8849557522123894,2.6548672566371683,0.8849557522123894,0.8849557522123894,0.8849557522123894,0.8849557522123894,0.8849557522123894,0.8849557522123894,0.8849557522123894
2012,0.8130081300813008,10.56910569105691,40.65040650406504,39.83739837398374,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008,0.8130081300813008
2013,0.819672131147541,7.377049180327869,37.295081967213115,38.9344262295082,0.819672131147541,8.19672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541,0.819672131147541
2014,1.9230769230769231,23.076923076923077,3.8461538461538463,34.61538461538461,1.9230769230769231,19.23076923076923,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
2015,1.8518518518518519,4.62962962962963,27.77777777777778,37.96296296296296,1.8518518518518519,1.8518518518518519,9.25925925925926,3.7037037037037037,1.8518518518518519,1.8518518518518519,1.8518518518518519,1.8518518518518519,1.8518518518518519,1.8518518518518519
2016,1.9230769230769231,22.115384615384617,25.0,22.115384615384617,1.9230769230769231,9.615384615384615,1.9230769230769231,1.9230769230769231,3.8461538461538463,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
2017,0.22805017103762829,25.769669327251997,33.409350057012546,20.068415051311288,0.22805017103762829,14.367160775370582,0.22805017103762829,0.22805017103762829,4.3329532497149374,0.22805017103762829,0.22805017103762829,0.22805017103762829,0.22805017103762829,0.22805017103762829
